"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"556","1","556",,,3,,"FFFF7C","000000"
"558","1","558",,,3,,"FFFF7C","000000"
"57","1","57",,,3,,"FFFF7C","000000"
"57A","1","57A",,,3,,"FFFF7C","000000"
"59","1","59",,,3,,"FFFF7C","000000"
"60","1","60",,,3,,"FFFF7C","000000"
"608","1","608",,,3,,"FFFF7C","000000"
"62","1","62",,,3,,"FFFF7C","000000"
"627","1","62/76",,,3,,"FFFF7C","000000"
"64","1","64",,,3,,"FFFF7C","000000"
"65","1","65",,,3,,"FFFF7C","000000"
"66","1","66",,,3,,"FFFF7C","000000"
"67","1","67",,,3,,"FFFF7C","000000"
"68","1","68",,,3,,"FFFF7C","000000"
"69","1","69",,,3,,"FFFF7C","000000"
"70","1","70",,,3,,"FFFF7C","000000"
"701","1","CT1",,,3,,"FFFF7C","000000"
"708","1","CT3",,,3,,"FFFF7C","000000"
"70A","1","70A",,,3,,"FFFF7C","000000"
"71","1","71",,,3,,"FFFF7C","000000"
"72","1","72",,,3,,"FFFF7C","000000"
"725","1","72/75",,,3,,"FFFF7C","000000"
"73","1","73",,,3,,"FFFF7C","000000"
"74","1","74",,,3,,"FFFF7C","000000"
"741","1","SL1","Silver Line SL1",,3,,"555555","FFFFFF"
"742","1","SL2","Silver Line SL2",,3,,"555555","FFFFFF"
"746","1",,"Silver Line Waterfront",,3,,"555555","FFFFFF"
"747","1","CT2",,,3,,"FFFF7C","000000"
"749","1","SL5","Silver Line SL5",,3,,"555555","FFFFFF"
"75","1","75",,,3,,"FFFF7C","000000"
"751","1","SL4","Silver Line SL4",,3,,"555555","FFFFFF"
"76","1","76",,,3,,"FFFF7C","000000"
"77","1","77",,,3,,"FFFF7C","000000"
"78","1","78",,,3,,"FFFF7C","000000"
"79","1","79",,,3,,"FFFF7C","000000"
"80","1","80",,,3,,"FFFF7C","000000"
"810_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"813_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"823_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"83","1","83",,,3,,"FFFF7C","000000"
"830_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"831_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"84","1","84",,,3,,"FFFF7C","000000"
"840_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"842_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"85","1","85",,,3,,"FFFF7C","000000"
"851_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"852_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"86","1","86",,,3,,"FFFF7C","000000"
"87","1","87",,,3,,"FFFF7C","000000"
"88","1","88",,,3,,"FFFF7C","000000"
"880_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"882_","1",,"Green Line",,0,,"427B1D","FFFFFF"
"89","1","89",,,3,,"FFFF7C","000000"
"899_","1",,"Mattapan Trolley",,0,,"E12D27","FFFFFF"
"8993","1","89/93",,,3,,"FFFF7C","000000"
"90","1","90",,,3,,"FFFF7C","000000"
"903_","1",,"Orange Line",,1,,"E87200","FFFFFF"
"91","1","91",,,3,,"FFFF7C","000000"
"913_","1",,"Orange Line",,1,,"E87200","FFFFFF"
"92","1","92",,,3,,"FFFF7C","000000"
"93","1","93",,,3,,"FFFF7C","000000"
"931_","1",,"Red Line",,1,,"E12D27","FFFFFF"
"933_","1",,"Red Line",,1,,"E12D27","FFFFFF"
"94","1","94",,,3,,"FFFF7C","000000"
"946_","1",,"Blue Line",,1,,"2F5DA6","FFFFFF"
"948_","1",,"Blue Line",,1,,"2F5DA6","FFFFFF"
